service_id,date,exception_type
000021,20230610,1
000022,20230507,1
000022,20230508,1
000022,20230514,1
000022,20230521,1
000022,20230529,1
000022,20230604,1
000022,20230611,1
000023,20230605,1
000023,20230606,1
000023,20230607,1
000023,20230609,1
000024,20230608,1
000025,20230518,1
000026,20230507,1
000026,20230508,1
000026,20230514,1
000026,20230518,1
000026,20230521,1
000026,20230529,1
000026,20230604,1
000026,20230610,1
000026,20230611,1
000027,20230513,1
000027,20230515,1
000027,20230516,1
000027,20230517,1
000027,20230519,1
000027,20230520,1
000027,20230522,1
000027,20230523,1
000027,20230524,1
000027,20230525,1
000027,20230526,1
000027,20230527,1
000027,20230530,1
000027,20230531,1
000027,20230601,1
000027,20230602,1
000027,20230603,1
000027,20230605,1
000027,20230606,1
000027,20230607,1
000027,20230608,1
000027,20230609,1
000028,20230612,1
000028,20230613,1
000028,20230614,1
000028,20230615,1
000028,20230616,1
000028,20230617,1
000028,20230618,1
000028,20230619,1
000028,20230620,1
000028,20230621,1
000028,20230622,1
000028,20230623,1
000028,20230624,1
000028,20230625,1
000028,20230626,1
000028,20230627,1
000028,20230628,1
000028,20230629,1
000028,20230630,1
000028,20230701,1
000028,20230702,1
000028,20230704,1
000028,20230705,1
000028,20230706,1
000028,20230707,1
000028,20230708,1
000028,20230709,1
000028,20230710,1
000028,20230711,1
000028,20230712,1
000028,20230713,1
000028,20230714,1
000028,20230715,1
000028,20230716,1
000028,20230718,1
000028,20230720,1
000028,20230721,1
000028,20230722,1
000028,20230723,1
000028,20230724,1
000028,20230725,1
000028,20230726,1
000028,20230727,1
000028,20230728,1
000028,20230729,1
000028,20230730,1
000028,20230731,1
000028,20230801,1
000028,20230802,1
000028,20230803,1
000028,20230804,1
000028,20230805,1
000029,20230703,1
000029,20230717,1
000029,20230719,1
000030,20230513,1
000030,20230515,1
000030,20230516,1
000030,20230517,1
000030,20230518,1
000030,20230519,1
000030,20230520,1
000030,20230522,1
000030,20230523,1
000030,20230524,1
000030,20230525,1
000030,20230526,1
000030,20230527,1
000030,20230530,1
000030,20230531,1
000030,20230601,1
000030,20230602,1
000030,20230603,1
000030,20230605,1
000030,20230606,1
000030,20230607,1
000030,20230608,1
000030,20230609,1
000030,20230610,1
000031,20230507,1
000031,20230508,1
000031,20230514,1
000031,20230521,1
000031,20230528,1
000031,20230529,1
000031,20230604,1
000031,20230611,1
000032,20230616,1
000032,20230617,1
000032,20230623,1
000032,20230624,1
000032,20230630,1
000032,20230701,1
000032,20230707,1
000032,20230708,1
000032,20230713,1
000032,20230714,1
000032,20230715,1
000032,20230721,1
000032,20230722,1
000032,20230728,1
000032,20230729,1
000032,20230804,1
000032,20230805,1
000033,20230618,1
000033,20230625,1
000033,20230702,1
000033,20230709,1
000033,20230716,1
000033,20230723,1
000033,20230730,1
000034,20230612,1
000034,20230613,1
000034,20230614,1
000034,20230615,1
000034,20230619,1
000034,20230620,1
000034,20230621,1
000034,20230622,1
000034,20230626,1
000034,20230627,1
000034,20230628,1
000034,20230629,1
000034,20230703,1
000034,20230704,1
000034,20230705,1
000034,20230706,1
000034,20230710,1
000034,20230711,1
000034,20230712,1
000034,20230717,1
000034,20230718,1
000034,20230719,1
000034,20230720,1
000034,20230724,1
000034,20230725,1
000034,20230726,1
000034,20230727,1
000034,20230731,1
000034,20230801,1
000034,20230802,1
000034,20230803,1
000035,20230515,1
000035,20230516,1
000035,20230517,1
000035,20230522,1
000035,20230523,1
000035,20230524,1
000035,20230525,1
000035,20230526,1
000035,20230530,1
000035,20230531,1
000035,20230601,1
000035,20230602,1
000035,20230605,1
000035,20230606,1
000035,20230607,1
000035,20230608,1
000035,20230609,1
000036,20230612,1
000036,20230613,1
000036,20230614,1
000036,20230615,1
000036,20230619,1
000036,20230620,1
000036,20230621,1
000036,20230622,1
000036,20230626,1
000036,20230627,1
000036,20230628,1
000036,20230629,1
000036,20230703,1
000036,20230704,1
000036,20230705,1
000036,20230706,1
000037,20230710,1
000037,20230711,1
000037,20230712,1
000037,20230717,1
000037,20230718,1
000037,20230719,1
000037,20230720,1
000037,20230724,1
000037,20230725,1
000037,20230726,1
000037,20230727,1
000037,20230731,1
000037,20230801,1
000037,20230802,1
000037,20230803,1
000037,20230804,1
000038,20230519,1
000039,20230616,1
000039,20230623,1
000039,20230630,1
000039,20230707,1
000040,20230713,1
000040,20230721,1
000040,20230728,1
000041,20230617,1
000041,20230624,1
000041,20230701,1
000041,20230708,1
000041,20230714,1
000041,20230715,1
000041,20230722,1
000041,20230729,1
000041,20230805,1
000042,20230626,1
000042,20230627,1
000042,20230628,1
000042,20230629,1
000042,20230630,1
000042,20230701,1
