Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Abbeville;87317362;80100;b;650701;793538;505759;616779;757362;923612;710325;866250;750298;914998;727081;886684;758410;924890
Acheux - Franleu;87316745;80560;c;0;0;0;0;2;2;235;235;104;104;308;308;898;898
Aix-en-Provence;87751404;13100;b;276414;294057;189752;201864;542347;576965;769147;818241;1106279;1176893;998093;1061802;1011615;1076187
Allée de la Tour Rendez-Vous;87113878;93320;b;687434;687434;940572;940572;630008;630008;651602;651602;673383;673383;683635;683635;690917;690917
Alleyras;87731885;43580;c;1447;1447;949;949;1310;1310;1013;1013;812;812;598;598;510;510
Anchamps;87172858;8500;c;5985;5985;5694;5694;7376;7376;6979;6979;6235;6235;5123;5123;6400;6400
Andelot-en-Montagne;87715102;39320;c;9982;9982;4698;4698;5782;5782;4050;4050;6806;6806;9288;9288;9918;9918
Annappes;87286856;59650;c;1388;1388;882;882;1638;1638;1285;1285;811;811;641;641;883;883
Annecy;87746008;74000;a;2127405;2659257;1562888;1953611;2334077;2917596;2209179;2761473;2390892;2988615;2216925;2771156;2235873;2794841
Anse;87721324;69480;b;343949;429936;284335;355418;444151;555189;397142;496428;397242;496552;365763;457204;369752;462190
Anzeling;87191387;57320;c;1789;1789;1560;1560;1591;1591;1191;1191;744;744;657;657;791;791
Apach;87191643;57480;c;294;294;369;369;907;907;1164;1164;1105;1105;1059;1059;1066;1066
Argelès-sur-Mer;87784231;66700;b;124292;155365;86560;108200;117724;147155;103492;129365;126203;157754;106538;133172;125241;156551
Argentière;87746859;74400;c;12758;12758;12408;12408;14463;14463;15238;15238;13277;13277;15678;15678;16513;16513
Arleux;87345421;59151;c;23159;23159;22092;22092;39865;39865;39776;39776;45719;45719;47584;47584;51057;51057
Arnage;87396549;72230;c;8831;8831;7963;7963;12703;12703;14550;14550;17688;17688;15575;15575;19029;19029
Assat;87672162;64510;c;586;586;559;559;273;273;151;151;168;168;461;461;236;236
Assier;87613075;46320;c;10281;10281;7173;7173;8883;8883;7528;7528;9895;9895;10561;10561;10321;10321
Athis-Mons;87545251;91200;b;1064434;1064434;570450;570450;1684717;1684717;1680397;1680397;1687816;1687816;1660228;1660228;1625618;1625618
Aubagne;87751750;13400;b;844535;1126046;634307;845743;958241;1277655;935040;1246720;971737;1295649;841969;1122626;747027;996037
Aubiat;87734111;63260;c;5672;5672;5053;5053;8809;8809;7945;7945;6420;6420;4849;4849;4419;4419
Aubigny-en-Artois;87342246;62690;c;21048;21048;39296;39296;50207;50207;48982;48982;58250;58250;60607;60607;63351;63351
Aurillac;87645002;15000;b;115900;144875;81046;101308;120175;150218;136951;171189;154733;193417;143170;178963;160641;200801
Avenay;87171579;51160;c;22380;22380;17236;17236;18793;18793;12786;12786;15908;15908;21039;21039;24502;24502
Azay-sur-Cher;87574442;37270;c;13552;13552;8865;8865;13599;13599;13004;13004;13521;13521;13090;13090;12858;12858
Babinière;87590349;44240;b;32561;40701;34528;43160;65168;81461;93097;116372;114818;143522;107295;134119;96983;121229
Baccarat;87141416;54120;b;101089;126362;86853;108566;128406;160508;116842;146052;129480;161851;134114;167642;145136;181420
Bains-les-Bains;87144147;88240;c;1788;1788;1965;1965;2801;2801;2384;2384;3047;3047;3918;3918;4001;4001
Balbigny;87726869;42510;b;71325;89157;58218;72773;83759;104699;77780;97226;96801;121001;105225;131532;110115;137643
Ballan-Miré;87571604;37510;c;25746;25746;28881;28881;44366;44366;38016;38016;36096;36096;33804;33804;38356;38356
Banassac - La Canourgue;87783324;48500;c;3286;3286;2556;2556;3164;3164;3646;3646;4045;4045;4094;4094;4541;4541
Barentin;87411264;76360;b;184673;230841;169387;211734;238127;297659;222939;278674;238655;298319;254756;318445;280261;350326
Barenton-Bugny;87297291;2000;c;9498;9498;6211;6211;6141;6141;8608;8608;11174;11174;10665;10665;9537;9537
Barjac;87783563;48000;c;55;55;109;109;76;76;16;16;24;24;23;23;4;4
Baroncourt;87192658;55240;c;8374;8374;5756;5756;9000;9000;7517;7517;9225;9225;8703;8703;12179;12179
Barr;87214247;67140;b;259665;324581;214461;268076;302765;378456;289868;362335;298416;373021;290643;363304;302911;378638
Basse-Ham;87191601;57110;c;18;18;14;14;646;646;523;523;642;642;632;632;1408;1408
Bassens;87581850;33530;c;38136;38136;23363;23363;39149;39149;24017;24017;18450;18450;13262;13262;16097;16097
Beauvoir-sur-Niort;87485342;79360;c;29514;29514;25176;25176;26170;26170;24235;24235;24545;24545;24094;24094;22629;22629
Bédarrides;87765198;84370;c;13476;13476;9782;9782;20446;20446;20795;20795;26959;26959;20850;20850;22469;22469
Bellac;87592485;87300;c;24849;24849;16307;16307;26216;26216;23075;23075;34347;34347;36090;36090;32527;32527
Belleville-sur-Vie;87486142;85170;c;71832;71832;57289;57289;85566;85566;73772;73772;67909;67909;58233;58233;49298;49298
Bellignat;87743526;1810;c;3683;3683;3355;3355;5373;5373;5208;5208;7183;7183;7693;7693;7198;7198
Béning-lès-Saint-Avold;87193250;57800;b;109573;136967;77404;96755;130046;162558;108518;135648;126267;157834;119276;149095;127840;159800
Besançon Franche-Comté TGV;87300863;25870;a;501306;569666;349723;397413;657453;747106;641643;729140;712656;809837;682900;776023;689453;783470
Beslé;87471219;44290;c;22049;22049;15975;15975;28946;28946;24110;24110;22423;22423;20650;20650;20567;20567
Béthune;87342006;62400;b;1275459;1371461;1134785;1220199;1838636;1977028;1744515;1875823;1844883;1983745;1775966;1909641;1827943;1965530
Bischoffsheim;87214296;67830;b;102113;127641;92984;116231;133047;166309;122565;153206;122728;153410;122510;153137;127673;159592
Bischwiller;87213611;67240;b;601949;752437;495341;619176;656797;820996;597882;747353;578058;722573;541035;676294;560026;700033
Blangy-sur-Bresle;87313809;76340;c;31720;31720;29382;29382;21218;21218;22833;22833;28546;28546;31099;31099;32310;32310
Blonville-sur-Mer - Benerville;87444380;14910;c;1864;1864;1398;1398;2404;2404;1927;1927;2020;2020;1978;1978;1977;1977
Boissy-l'Aillerie;87381152;95650;b;237004;237004;88484;88484;207727;207727;221223;221223;239132;239132;251490;251490;233191;233191
Bolbec - Nointot;87413351;76210;c;0;0;0;0;3280;3280;6070;6070;7403;7403;7726;7726;9072;9072
Bollène La Croisière;87764357;84500;b;138486;173108;87212;109015;134248;167810;115731;144664;136888;171111;129801;162252;142446;178058
Bonnières-sur-Seine;87415893;78270;b;619227;619227;278424;278424;636589;636589;665715;665715;713057;713057;749898;749898;789125;789125
Boucau;87673095;64340;c;9876;9876;5206;5206;8764;8764;6848;6848;6094;6094;5767;5767;7913;7913
Boucoiran-et-Nozières;87775346;30190;c;6038;6038;3772;3772;1745;1745;1768;1768;1224;1224;1396;1396;1106;1106
Bouffémont - Moisselles;87276485;95570;b;981994;981994;427733;427733;1064575;1064575;1078777;1078777;1036366;1036366;1000990;1000990;962706;962706
Boulogne-sur-Mer;87317586;62200;b;741122;926402;568031;710039;830447;1038059;784536;980670;857777;1072222;858187;1072734;921416;1151770
Bourg-Bruche;87214775;67420;c;7693;7693;8323;8323;7947;7947;7918;7918;8579;8579;8146;8146;8569;8569
Bourges;87576207;18000;a;829220;1036525;615575;769469;980131;1225164;843252;1054065;915112;1143891;880015;1100019;957058;1196322
Bourg-Madame;87784876;66760;c;2974;2974;2767;2767;4528;4528;4557;4557;4874;4874;5349;5349;7061;7061
Bourgtheroulde - Thuit-Hébert;87415323;27520;c;8528;8528;5189;5189;2424;2424;1534;1534;1717;1717;2347;2347;2591;2591
Boussens;87611095;31360;b;164836;206046;124996;156245;190457;238072;167352;209191;206713;258391;174130;217663;185806;232257
Boves;87313213;80440;c;13791;13791;10945;10945;18323;18323;16049;16049;14182;14182;16521;16521;16198;16198
Brandérion;87476242;56700;c;6799;6799;7003;7003;8446;8446;3550;3550;2015;2015;1601;1601;2008;2008
Brebières;87345108;62117;c;70529;70529;66521;66521;86470;86470;81038;81038;81110;81110;79737;79737;79692;79692
Breil-sur-Roya;87756833;6540;c;27475;27475;32917;32917;70196;70196;60658;60658;71707;71707;57215;57215;51425;51425
Breteil;87471102;35160;c;57397;57397;59860;59860;87850;87850;78865;78865;80861;80861;86106;86106;81703;81703
Breuil - Romain;87171322;51140;c;25289;25289;22209;22209;19333;19333;13976;13976;13838;13838;13118;13118;23285;23285
Breuillet - Bruyères-le-Châtel;87545483;91650;b;457908;457908;257008;257008;515602;515602;518454;518454;525645;525645;520688;520688;513952;513952
Briare;87696088;45250;c;43963;43963;30194;30194;47148;47148;43985;43985;48170;48170;45392;45392;50561;50561
Brignoud;87747451;38190;b;197923;204044;165206;170315;273904;282375;235085;242355;259862;267899;235496;242780;255609;263514
Bruyères;87144154;88600;c;58855;58855;42714;42714;50987;50987;68676;68676;68352;68352;64305;64305;62840;62840
Bruz;87471037;35170;b;145999;182499;119298;149123;166368;207960;130109;162636;120054;150068;108094;135118;106113;132642
Busigny;87296244;59137;c;56192;56192;44422;44422;56535;56535;49018;49018;55333;55333;50415;50415;54060;54060
Cagnes-sur-Mer;87756320;6800;b;916468;1145585;747076;933846;1343669;1679587;1180596;1475745;1264538;1580673;1022116;1277645;982487;1228108
Cambrai;87345520;59400;b;528658;660822;464567;580709;697594;871992;627458;784322;687678;859598;657910;822387;668208;835261
Castelnau-d'Estrétefonds;87611665;31620;b;264320;330400;208341;260427;229548;286935;201012;251266;235142;293928;223630;279538;207877;259846
Castres;87615468;81100;b;117058;146322;90303;112879;130131;162664;125499;156874;179620;224526;174902;218628;196675;245844
Cattenières;87345587;59217;c;271;271;248;248;544;544;1;1;8;8;3;3;13;13
Caudrot;87582841;33490;c;5966;5966;5015;5015;8034;8034;6238;6238;5031;5031;5406;5406;8742;8742
Cavaillon;87765503;84300;b;178501;223127;124208;155260;199358;249198;172495;215619;193612;242015;181721;227151;193683;242103
Cazères;87611079;31220;b;161091;201364;123606;154508;152020;190025;132125;165156;171050;213813;163036;203795;169960;212450
Cerbère;87785006;66290;c;51686;51686;34933;34933;53142;53142;49136;49136;55700;55700;51893;51893;58653;58653
Cercottes;87543033;45520;c;50076;50076;36970;36970;42501;42501;36191;36191;31548;31548;29410;29410;29910;29910
Cergy le Haut;87382655;95800;b;4571827;4571827;3298015;3298015;6739264;6739264;6755489;6755489;6809697;6809697;6743592;6743592;6647546;6647546
Cerizay;87487280;79140;c;763;763;465;465;535;535;483;483;315;315;322;322;474;474
Cessieu;87723452;38110;c;34699;34699;24956;24956;33073;33073;24194;24194;26634;26634;29977;29977;29255;29255
Châbons;87747212;38690;c;62965;62965;44628;44628;53351;53351;51640;51640;53309;53309;50770;50770;47815;47815
Châlons-en-Champagne;87174003;51000;b;600736;690501;468771;538817;801402;921152;717835;825097;825899;949309;796200;915172;840726;966352
Chamalières-sur-Loire;87734731;43800;c;2273;2273;969;969;1866;1866;1606;1606;1245;1245;1671;1671;1652;1652
Chamarande;87545152;91730;b;141799;141799;89603;89603;177504;177504;188475;188475;201279;201279;210255;210255;220105;220105
Chamborigaud;87775221;30530;c;5833;5833;4899;4899;6555;6555;4313;4313;5158;5158;5442;5442;5384;5384
Chambourg-sur-Indre;87571463;37310;c;1974;1974;2154;2154;8861;8861;10751;10751;14050;14050;14040;14040;14479;14479
Champ de Courses d'Enghien;87276030;95230;b;1828450;1828450;943277;943277;2096797;2096797;2066509;2066509;2072979;2072979;2155045;2155045;2229912;2229912
Champ de Mars Tour Eiffel;87393058;75015;b;2516159;2516159;1472021;1472021;7947231;7947231;8715423;8715423;9575471;9575471;10321323;10321323;11088743;11088743
Champagnole Paul-Émile Victor;87352047;39300;c;2650;2650;1507;1507;2545;2545;1571;1571;4248;4248;5910;5910;6323;6323
Champs - Saint-Bris;87683615;89290;c;1473;1473;1684;1684;3062;3062;2172;2172;3169;3169;3195;3195;7201;7201
Chantenay-Saint-Imbert;87696302;58240;c;10215;10215;11116;11116;7703;7703;6355;6355;7940;7940;7642;7642;7487;7487
Chaponval;87276162;95430;c;35917;35917;24510;24510;55733;55733;55078;55078;54127;54127;53547;53547;53160;53160
Chartrettes;87682419;77590;c;58961;58961;24561;24561;53428;53428;51957;51957;50979;50979;48843;48843;46822;46822
Châteauneuf - Bujaleuf;87592105;87460;c;2987;2987;2428;2428;3889;3889;2376;2376;2274;2274;2433;2433;2849;2849
Châtel-Censoir;87696856;89660;c;4143;4143;3101;3101;4959;4959;3339;3339;3511;3511;3124;3124;3652;3652
Châtellerault;87575142;86100;b;444099;555123;337286;421608;491606;614508;453838;567297;519242;649052;506257;632821;525794;657243
Chaville Rive Gauche;87393207;92370;b;690862;690862;504285;504285;932646;932646;1000355;1000355;1067926;1067926;1123009;1123009;1180143;1180143
Chazay - Marcilly;87721415;69380;c;16123;16123;12148;12148;17133;17133;13054;13054;17384;17384;15361;15361;13632;13632
Chedde;87746701;74190;c;17314;17314;15047;15047;20478;20478;21249;21249;22641;22641;23305;23305;22703;22703
Cheilly-lès-Maranges;87694398;71150;c;9269;9269;11925;11925;10672;10672;8213;8213;6454;6454;5515;5515;4566;4566
Chemillé-en-Anjou;87484246;49120;b;116463;145579;90698;113372;156909;196136;145513;181891;171319;214149;165826;207283;177670;222088
Chemin d'Antony;87546317;92160;b;218101;218101;187523;187523;400187;400187;394028;394028;391171;391171;380440;380440;367722;367722
Cherbourg-en-Cotentin;87444877;50100;a;418713;516929;318696;393452;576122;711262;516083;637140;574314;709030;553961;683903;592294;731228
Chessy;87721761;69380;c;13961;13961;10315;10315;19161;19161;19730;19730;20849;20849;27764;27764;26779;26779
Chevaigné;87471458;35250;c;45317;45317;49121;49121;55765;55765;45466;45466;43305;43305;35341;35341;31216;31216
Chissay-en-Touraine;87574848;41400;c;5188;5188;2361;2361;5992;5992;7176;7176;7711;7711;8050;8050;7393;7393
Coarraze - Nay;87672139;64800;c;39721;39721;26993;26993;33712;33712;23642;23642;31709;31709;31169;31169;31465;31465
Coat Guégan;87473579;22390;c;505;505;318;318;637;637;1681;1681;2851;2851;3547;3547;2796;2796
Colmar Mésanges;87402297;68000;c;3326;3326;2422;2422;4190;4190;4571;4571;3442;3442;2119;2119;2769;2769
Colombes;87381087;92700;b;5496540;5496540;2242945;2242945;6156786;6156786;6305152;6305152;6159813;6159813;5993177;5993177;6039242;6039242
Combourg;87478057;35270;b;274818;343522;216965;271206;297540;371925;266528;333160;267969;334961;262920;328650;267557;334446
Commercy;87175257;55200;b;155389;194237;118638;148298;182731;228414;171608;214510;176049;220061;160004;200006;168732;210915
Condé-sur-Huisne;87394288;61110;c;21903;21903;15963;15963;15552;15552;12395;12395;13533;13533;16329;16329;18717;18717
Conlie;87396218;72240;c;39419;39419;33225;33225;64332;64332;68836;68836;65237;65237;63380;63380;63827;63827
Corbehem;87345116;62112;c;22452;22452;18911;18911;29767;29767;29762;29762;31272;31272;30967;30967;34093;34093
Corbie;87313056;80800;b;309580;386975;273972;342465;362926;453658;347950;434938;350076;437596;351568;439460;364008;455010
Corcieux Vanémont;87144196;88430;c;1361;1361;260;260;973;973;3373;3373;2809;2809;3239;3239;5660;5660
Corcy;87272286;2600;c;2;2;3;3;0;0;0;0;7;7;102;102;529;529
Cordes - Vindrac;87613802;81170;c;9103;9103;6466;6466;9138;9138;7395;7395;9472;9472;8567;8567;9877;9877
Cormeilles-en-Parisis;87381863;95240;b;3317416;3317416;1878474;1878474;3683266;3683266;3750496;3750496;3830848;3830848;3843422;3843422;3651596;3651596
Corseul - Languenan;87478180;22130;c;1875;1875;1489;1489;2584;2584;1464;1464;2153;2153;1856;1856;1326;1326
Cosne-Cours-sur-Loire;87696146;58200;b;151936;189920;116309;145387;162150;202688;158219;197774;179187;223983;176942;221177;194441;243051
Courtalain - Saint-Pellerin;87394494;28290;c;5631;5631;3804;3804;4511;4511;4586;4586;4140;4140;5170;5170;5739;5739
Couze;87584425;24150;c;6;6;24;24;122;122;151;151;1010;1010;784;784;1459;1459
Creil;87276006;60100;b;4244071;5305089;3384293;4230366;5096215;6370269;4767367;5959209;5179573;6474466;4975896;6219870;4771298;5964123
Crépieux la Pape;87723502;69140;c;18486;18486;5478;5478;9378;9378;6463;6463;7130;7130;6194;6194;7511;7511
Croix L'Allumette;87281055;59170;c;848;848;731;731;1029;1029;1269;1269;1669;1669;1245;1245;1465;1465
Croix Sainte;87753491;13500;c;3332;3332;1310;1310;3310;3310;3693;3693;5115;5115;4388;4388;3970;3970
Dambach-la-Ville;87214213;67650;c;32630;32630;29978;29978;39069;39069;29842;29842;33397;33397;37955;37955;36828;36828
Dangé-Saint-Romain;87575126;86220;c;22872;22872;18885;18885;20056;20056;12949;12949;11270;11270;13323;13323;14147;14147
Dannemarie;87182253;68210;c;85930;85930;73044;73044;109780;109780;98973;98973;100724;100724;90147;90147;90221;90221
Daours;87315044;80800;c;28044;28044;27157;27157;31699;31699;26769;26769;28859;28859;28036;28036;26913;26913
Dardilly Le Jubin;87721449;69570;c;32148;32148;29694;29694;38983;38983;39246;39246;42798;42798;45995;45995;53696;53696
Denain;87343459;59220;c;18677;18677;21192;21192;36925;36925;32400;32400;31612;31612;27110;27110;28346;28346
Dijon Porte Neuve;87713008;21000;b;96032;120040;103723;129654;127926;159908;133230;166537;146606;183258;144619;180774;149762;187203
Domblans - Voiteur;87718213;39210;c;32655;32655;35660;35660;31832;31832;34199;34199;41499;41499;41663;41663;44879;44879
Domfront-en-Champagne;87396200;72240;c;5640;5640;4380;4380;11171;11171;13210;13210;13090;13090;13321;13321;12836;12836
Donzère;87764290;26290;c;19638;19638;16156;16156;27825;27825;20780;20780;23808;23808;19937;19937;20729;20729
Drefféac;87476770;44530;c;4871;4871;3737;3737;7414;7414;5658;5658;3504;3504;3111;3111;2799;2799
Dreux;87393488;28100;b;1102221;1377776;919445;1149307;1606493;2008116;1471100;1838875;1633846;2042308;1660359;2075449;1788844;2236055
Durtol - Nohanent;87641449;63830;c;708;708;539;539;606;606;347;347;590;590;756;756;502;502
École-Valentin;87710731;25480;c;5038;5038;3854;3854;6069;6069;5684;5684;6386;6386;6236;6236;7012;7012
Écouché;87444547;61150;c;178;178;285;285;528;528;202;202;641;641;825;825;919;919
Éguzon-Chantôme;87597153;36270;c;4941;4941;1996;1996;4960;4960;4776;4776;6297;6297;5731;5731;5382;5382
Enghien-les-Bains;87276022;95880;b;6111149;6111149;3316445;3316445;7568159;7568159;7711048;7711048;7760343;7760343;7684943;7684943;7574604;7574604
Épluches;87276147;95310;c;64775;64775;33122;33122;82821;82821;87088;87088;74693;74693;70353;70353;68305;68305
Épône - Mézières;87386763;78680;b;379728;379728;430031;430031;1023974;1023974;1107734;1107734;1205405;1205405;1293560;1293560;1388532;1388532
Escaudœuvres;87345496;59161;c;531;531;143;143;32;32;134;134;161;161;263;263;49;49
Estressin;87722579;38200;c;85549;85549;62138;62138;90877;90877;71330;71330;82698;82698;77341;77341;89537;89537
Étainhus - Saint-Romain;87413328;76430;c;49644;49644;42897;42897;63166;63166;51343;51343;53959;53959;55746;55746;62116;62116
Étang-sur-Arroux;87694141;71190;c;91060;91060;76286;76286;76539;76539;67299;67299;72528;72528;71592;71592;81646;81646
Évian-les-Bains;87745679;74500;b;167516;209395;116019;145024;171310;214137;153441;191801;184932;231165;173811;217264;187774;234717
Évry Val de Seine;87681361;91000;b;587153;587153;416528;416528;914295;914295;952220;952220;996434;996434;1020954;1020954;1045105;1045105
Eymoutiers Vassivière;87592121;87120;c;41359;41359;34711;34711;44042;44042;34357;34357;39685;39685;38791;38791;39292;39292
Farschviller;87193524;57450;c;21785;21785;18309;18309;19952;19952;22125;22125;21467;21467;20970;20970;21087;21087
Figeac;87613091;46100;b;118881;148601;90222;112778;99922;124903;137170;171463;167319;209149;160735;200919;163436;204296
Firminy;87726729;42700;b;176539;220674;133279;166599;252108;315135;213812;267265;288912;361140;215058;268822;246647;308309
Fismes;87171330;51170;b;193288;241610;168135;210169;188429;235537;184856;231070;205140;256425;195869;244836;199571;249464
Flers;87448001;61100;b;99533;124417;77154;96442;126812;158515;118812;148515;126503;158129;125648;157061;121625;152031
Fleurieux-sur-l'Arbresle;87721563;69210;b;105568;131960;87204;109005;135482;169352;121917;152397;115642;144552;93970;117463;86131;107664
Foix;87611616;9000;b;194264;242830;118940;148675;215707;269634;181705;227132;227901;284877;221001;276252;246977;308721
Fontenoy-sur-Moselle;87141051;54840;c;2344;2344;2672;2672;2864;2864;2500;2500;2502;2502;2641;2641;3364;3364
Fouquereuil;87342204;62232;c;1275;1275;1055;1055;1632;1632;1099;1099;1065;1065;2086;2086;2236;2236
Fourmies;87295048;59610;b;128968;161211;116402;145503;187071;233839;175997;219996;188906;236132;186154;232693;202884;253606
Freinville Sevran;87113894;93270;b;1546264;1546264;1905264;1905264;1191070;1191070;1194722;1194722;1192432;1192432;1168850;1168850;1144456;1144456
Fréjus;87757500;83600;b;149002;156845;103420;108863;181707;191271;188070;197968;197430;207822;138804;146109;134173;141235
Fretin;87286641;59273;c;59194;59194;53815;53815;92078;92078;85673;85673;95226;95226;84236;84236;87880;87880
Fromental;87592360;87250;c;973;973;584;584;373;373;330;330;410;410;1042;1042;890;890
Frynaudour;87473876;22860;c;254;254;208;208;625;625;695;695;165;165;159;159;607;607
Fumay;87172098;8170;c;62546;62546;53838;53838;69508;69508;74360;74360;90982;90982;97296;97296;95133;95133
Gadagne;87765446;84470;c;7649;7649;4237;4237;9321;9321;8514;8514;9396;9396;8920;8920;10342;10342
Gagny;87113514;93220;b;3268203;3268203;2469447;2469447;5094411;5094411;5155124;5155124;5225983;5225983;5196181;5196181;5145520;5145520
Gandrange - Amnéville;87191742;57175;c;2916;2916;1646;1646;3235;3235;2456;2456;3584;3584;6408;6408;10354;10354
Gare routière de Digne les Bains;87751495;4000;;3574;3574;3886;3886;11213;11213;12814;12814;14709;14709;15039;15039;16217;16217
Gare routière de La-Voulte-sur-Rhône;87761544;7800;;1042;1042;747;747;601;601;956;956;1029;1029;2023;2023;2053;2053
Gargenville;87381566;78440;b;465970;465970;186439;186439;355165;355165;346907;346907;339962;339962;327223;327223;323122;323122
Générac;87775791;30510;c;1016;1016;580;580;801;801;357;357;434;434;218;218;354;354
Gerzat;87734046;63360;c;24853;24853;20688;20688;27140;27140;23326;23326;28307;28307;29640;29640;29522;29522
Gisors;87381244;27140;b;694639;868298;439629;549536;773992;967490;782890;978613;928598;1160748;943223;1179029;951206;1189008
Givors;87722405;69700;b;644269;805337;511609;639511;820979;1026224;790672;988341;883281;1104102;813588;1016986;817714;1022142
Glos - Montfort;87415349;27290;c;0;0;0;0;830;830;1253;1253;772;772;1213;1213;1769;1769
Goxwiller;87214270;67210;c;22316;22316;19059;19059;28766;28766;30005;30005;33214;33214;32784;32784;30676;30676
Graffenwald;87181131;68700;c;60905;60905;58023;58023;78248;78248;78592;78592;74572;74572;69576;69576;79337;79337
Gramat;87613059;46500;c;15183;15183;10952;10952;12369;12369;12205;12205;14971;14971;16179;16179;16898;16898
Gravelines;87281246;59820;c;30628;30628;26881;26881;48190;48190;28939;28939;27184;27184;24117;24117;20857;20857
Grenoble;87747006;38000;a;6150709;8858291;4781532;6886394;7796571;11228672;7057612;10164418;7674268;11052531;7237980;10424187;7549493;10872829
Gujan-Mestras;87582619;33470;b;355451;374159;282948;297840;423550;445842;370600;390105;386863;407225;358233;377087;372350;391948
Gunsbach - Griesbach;87182386;68140;c;14184;14184;15724;15724;19337;19337;18386;18386;23087;23087;22226;22226;20815;20815
Habsheim;87182089;68440;b;153811;192264;161472;201840;245909;307386;227801;284751;228017;285021;221431;276789;225468;281835
Harfleur Halte;87413708;76700;c;2591;2591;2055;2055;3788;3788;3871;3871;4858;4858;4973;4973;4463;4463
Hasenrain;87181024;68100;c;0;0;0;0;0;0;0;0;566;566;395;395;378;378
Hayange;87191239;57700;c;6094;6094;5225;5225;8356;8356;7423;7423;9871;9871;17611;17611;28498;28498
Heilles - Mouchy;87316398;60250;c;4682;4682;2963;2963;2001;2001;3433;3433;4160;4160;4285;4285;3568;3568
Hennebont;87476259;56700;b;107506;134383;81304;101630;120366;150458;99670;124587;108628;135785;104904;131130;106043;132554
Héricourt;87184507;70400;b;134020;167525;123938;154923;148273;185342;124752;155940;142341;177926;138444;173055;151785;189731
Héricy;87682435;77850;c;65517;65517;26867;26867;56569;56569;57252;57252;58225;58225;58087;58087;57934;57934
Hettange-Grande;87191163;57330;b;366519;458149;308253;385316;472838;591047;459855;574818;532946;666183;551410;689263;524189;655236
Houdan;87393462;78550;b;577175;577175;366492;366492;809939;809939;878035;878035;959657;959657;996756;996756;1026284;1026284
Huriel;87641217;3380;c;15;15;6;6;26;26;24;24;112;112;150;150;120;120
Igney - Avricourt;87215103;54450;c;14717;14717;14494;14494;21350;21350;21470;21470;21906;21906;22803;22803;21727;21727
Invalides;87393033;75007;b;4931817;4931817;4118025;4118025;11104701;11104701;11541909;11541909;11941725;11941725;12138735;12138735;12310511;12310511
Irigny Yvours;87722249;69540;c;26690;26690;24067;24067;16431;16431;2;2;0;0;0;0;0;0
Isbergues;87342279;62330;b;118656;148320;104530;130662;175520;219400;166535;208169;180402;225503;176030;220037;196134;245167
Ivry-sur-Seine;87545301;94200;b;2718878;2718878;2174567;2174567;4974218;4974218;4987697;4987697;5034584;5034584;4976350;4976350;4899522;4899522
Jassonneix;87594085;19250;c;960;960;496;496;960;960;650;650;971;971;651;651;17;17
Javel;87393066;75015;b;2372151;2372151;1839261;1839261;3586477;3586477;3621602;3621602;3667671;3667671;3643685;3643685;3602308;3602308
Joncherey;87700153;90100;c;4837;4837;4860;4860;3429;3429;120;120;0;0;0;0;0;0
Juziers;87381558;78820;b;307728;307728;144256;144256;296880;296880;281817;281817;268597;268597;251359;251359;252094;252094
Kruth;87182642;68820;c;20013;20013;18542;18542;26336;26336;24164;24164;25830;25830;25601;25601;25185;25185
La Basse Indre - Saint-Herblain;87481069;44610;c;26223;26223;22448;22448;35569;35569;24395;24395;28283;28283;30153;30153;25242;25242
La Bohalle;87487843;49800;c;14275;14275;16229;16229;27951;27951;24016;24016;23632;23632;24580;24580;23516;23516
La Bourboule;87641464;63150;c;11256;11256;6258;6258;9000;9000;8185;8185;9428;9428;8857;8857;10913;10913
La Celle-Saint-Cloud;87382432;78170;b;1923942;1923942;761361;761361;2090228;2090228;2080360;2080360;2077227;2077227;2036429;2036429;2006487;2006487
La Chapelle-Saint-Mesmin;87543371;45380;c;6870;6870;5215;5215;12272;12272;8556;8556;8066;8066;7211;7211;6525;6525
La Charité-sur-Loire;87696195;58400;b;145243;181554;124811;156014;134915;168644;134967;168709;154522;193152;151087;188859;158355;197943
La Chaussée-Saint-Victor;87574251;41260;c;868;868;897;897;2175;2175;2513;2513;2145;2145;1395;1395;1940;1940
La Coquille;87592501;24450;c;15210;15210;10395;10395;16363;16363;17110;17110;20906;20906;20871;20871;20926;20926
La Couronne Carro;87753541;13500;c;25599;25599;12542;12542;25227;25227;21672;21672;30708;30708;31843;31843;34769;34769
La Fère;87296632;2800;b;110741;138427;94403;118004;102354;127943;104921;131152;127578;159473;134598;168247;135172;168966
La Ferté-Imbault;87576082;41300;c;12922;12922;11851;11851;12963;12963;11904;11904;11562;11562;13175;13175;13084;13084
La Ferté-Milon;87116673;2460;c;99790;99790;72807;72807;128417;128417;119892;119892;118228;118228;120942;120942;123281;123281
