Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Rennes;87471003;35005;a;9619265;12825686;7431788;9909050;11588429;15451239;10418643;13891525;10381870;13842494;9411458;12548611;9437542;12583389
La Douzillère;87009696;37300;c;9147;9147;7664;7664;10886;10886;11104;11104;11507;11507;13502;13502;17749;17749
Revin;87172080;8500;b;180714;225893;166336;207920;173618;217023;176229;220287;198749;248436;223448;279310;230865;288581
La Faloise;87313239;80250;c;9743;9743;7969;7969;8722;8722;8237;8237;8856;8856;9104;9104;9207;9207
Rilly-la-Montagne;87171595;51500;c;74796;74796;68278;68278;63585;63585;64498;64498;75260;75260;69459;69459;69591;69591
La Fontaine;87286427;59136;c;2347;2347;1408;1408;4540;4540;3634;3634;4687;4687;5429;5429;4910;4910
Ris-Orangis;87681338;91130;b;1059715;1059715;557733;557733;1372333;1372333;1456780;1456780;1544557;1544557;1608103;1608103;1668234;1668234
La Fresnais;87478081;35111;c;12790;12790;9665;9665;15788;15788;12175;12175;14017;14017;14777;14777;14727;14727
Rive-de-Gier;87726331;42800;b;507759;634698;419682;524603;708038;885048;658605;823256;692933;866167;658475;823093;658702;823377
La Garde;87755306;83130;b;147388;184235;86086;107607;133493;166866;108379;135474;119992;149990;97886;122358;72684;90856
Rivesaltes;87784173;66600;c;97363;97363;63974;63974;85145;85145;72553;72553;88885;88885;82488;82488;82009;82009
La Gouesnière - Cancale - Saint-Méloir-des-Ondes;87478099;35350;c;48289;48289;34881;34881;49866;49866;40271;40271;31673;31673;25953;25953;26543;26543
Rixheim;87182071;68170;b;138354;172943;126305;157881;201126;251408;188163;235204;196831;246039;201798;252248;203282;254103
La Haie-Fouassière;87481416;44690;b;102217;127771;87906;109882;153534;191917;156587;195733;152935;191169;123439;154299;89051;111314
Roanne;87726802;42300;b;777719;972149;619152;773940;939323;1174154;852143;1065179;1001053;1251317;950175;1187719;966343;1207929
La Hume;87582635;33470;b;121084;151355;94411;118014;151361;189202;125580;156975;122964;153705;119166;148957;126981;158726
