stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87212316,La Wantzenau,,48.6652040,7.82482200,,,1,
StopPoint:OCECar TER-87212316,La Wantzenau,,48.6652040,7.82482200,,,0,StopArea:OCE87212316
StopPoint:OCETrain TER-87212316,La Wantzenau,,48.6652040,7.82482200,,,0,StopArea:OCE87212316
StopArea:OCE87212324,Kilstett,,48.6793200,7.85475500,,,1,
StopPoint:OCETrain TER-87212324,Kilstett,,48.6793200,7.85475500,,,0,StopArea:OCE87212324
StopArea:OCE87212332,Gambsheim,,48.6949090,7.87917900,,,1,
StopPoint:OCECar TER-87212332,Gambsheim,,48.6949090,7.87917900,,,0,StopArea:OCE87212332
StopPoint:OCETrain TER-87212332,Gambsheim,,48.6949090,7.87917900,,,0,StopArea:OCE87212332
StopArea:OCE87212340,Herrlisheim,,48.7279200,7.91014600,,,1,
StopPoint:OCECar TER-87212340,Herrlisheim,,48.7279200,7.91014600,,,0,StopArea:OCE87212340
StopPoint:OCETrain TER-87212340,Herrlisheim,,48.7279200,7.91014600,,,0,StopArea:OCE87212340
StopArea:OCE87212357,Drusenheim,,48.7659060,7.94746000,,,1,
StopPoint:OCECar TER-87212357,Drusenheim,,48.7659060,7.94746000,,,0,StopArea:OCE87212357
StopPoint:OCETrain TER-87212357,Drusenheim,,48.7659060,7.94746000,,,0,StopArea:OCE87212357
StopArea:OCE87212365,Sessenheim,,48.7960300,7.98926500,,,1,
StopPoint:OCECar TER-87212365,Sessenheim,,48.7960300,7.98926500,,,0,StopArea:OCE87212365
StopPoint:OCETrain TER-87212365,Sessenheim,,48.7960300,7.98926500,,,0,StopArea:OCE87212365
StopArea:OCE87212373,Rountzenheim,,48.8204570,8.01177400,,,1,
StopPoint:OCECar TER-87212373,Rountzenheim,,48.8204570,8.01177400,,,0,StopArea:OCE87212373
StopPoint:OCETrain TER-87212373,Rountzenheim,,48.8204570,8.01177400,,,0,StopArea:OCE87212373
StopArea:OCE87212407,Roeschwoog,,48.8334370,8.02982300,,,1,
StopPoint:OCECar TER-87212407,Roeschwoog,,48.8334370,8.02982300,,,0,StopArea:OCE87212407
StopPoint:OCETrain TER-87212407,Roeschwoog,,48.8334370,8.02982300,,,0,StopArea:OCE87212407
StopArea:OCE87212415,Roppenheim,,48.8510210,8.06206800,,,1,
StopPoint:OCETrain TER-87212415,Roppenheim,,48.8510210,8.06206800,,,0,StopArea:OCE87212415
StopArea:OCE87212431,Seltz,,48.8965640,8.09867200,,,1,
StopPoint:OCECar TER-87212431,Seltz,,48.8965640,8.09867200,,,0,StopArea:OCE87212431
StopPoint:OCETrain TER-87212431,Seltz,,48.8965640,8.09867200,,,0,StopArea:OCE87212431
StopArea:OCE87212449,Munchhausen,,48.9240110,8.14118600,,,1,
StopPoint:OCETrain TER-87212449,Munchhausen,,48.9240110,8.14118600,,,0,StopArea:OCE87212449
StopArea:OCE87212456,Mothern,,48.9346350,8.16157000,,,1,
StopPoint:OCETrain TER-87212456,Mothern,,48.9346350,8.16157000,,,0,StopArea:OCE87212456
StopArea:OCE87212464,Lauterbourg,,48.9676970,8.18268200,,,1,
StopPoint:OCECar TER-87212464,Lauterbourg,,48.9676970,8.18268200,,,0,StopArea:OCE87212464
StopPoint:OCETrain TER-87212464,Lauterbourg,,48.9676970,8.18268200,,,0,StopArea:OCE87212464
StopArea:OCE87213058,Haguenau,,48.8134860,7.78275700,,,1,
StopPoint:OCECar TER-87213058,Haguenau,,48.8134860,7.78275700,,,0,StopArea:OCE87213058
StopPoint:OCETrain TER-87213058,Haguenau,,48.8134860,7.78275700,,,0,StopArea:OCE87213058
StopArea:OCE87213108,Schweighouse-sur-Moder,,48.8286770,7.74256400,,,1,
StopPoint:OCECar TER-87213108,Schweighouse-sur-Moder,,48.8286770,7.74256400,,,0,StopArea:OCE87213108
StopPoint:OCETrain TER-87213108,Schweighouse-sur-Moder,,48.8286770,7.74256400,,,0,StopArea:OCE87213108
StopArea:OCE87213165,Obermodern,,48.8425870,7.54713500,,,1,
StopPoint:OCECar TER-87213165,Obermodern,,48.8425870,7.54713500,,,0,StopArea:OCE87213165
StopPoint:OCETrain TER-87213165,Obermodern,,48.8425870,7.54713500,,,0,StopArea:OCE87213165
StopArea:OCE87213207,Mertzwiller,,48.8720560,7.67824400,,,1,
StopPoint:OCECar TER-87213207,Mertzwiller,,48.8720560,7.67824400,,,0,StopArea:OCE87213207
StopPoint:OCETrain TER-87213207,Mertzwiller,,48.8720560,7.67824400,,,0,StopArea:OCE87213207
StopArea:OCE87213223,Gundershoffen,,48.9052610,7.65353500,,,1,
StopPoint:OCECar TER-87213223,Gundershoffen,,48.9052610,7.65353500,,,0,StopArea:OCE87213223
StopPoint:OCETrain TER-87213223,Gundershoffen,,48.9052610,7.65353500,,,0,StopArea:OCE87213223
StopArea:OCE87213231,Reichshoffen Usines,,48.9216670,7.65963800,,,1,
StopPoint:OCECar TER-87213231,Reichshoffen Usines,,48.9216670,7.65963800,,,0,StopArea:OCE87213231
StopArea:OCE87213249,Reichshoffen,,48.9309250,7.65807200,,,1,
StopPoint:OCECar TER-87213249,Reichshoffen,,48.9309250,7.65807200,,,0,StopArea:OCE87213249
StopPoint:OCETrain TER-87213249,Reichshoffen,,48.9309250,7.65807200,,,0,StopArea:OCE87213249
StopArea:OCE87213256,Niederbronn-les-Bains,,48.9523850,7.63409000,,,1,
StopPoint:OCECar TER-87213256,Niederbronn-les-Bains,,48.9523850,7.63409000,,,0,StopArea:OCE87213256
StopPoint:OCETrain TER-87213256,Niederbronn-les-Bains,,48.9523850,7.63409000,,,0,StopArea:OCE87213256
StopArea:OCE87213298,Bannstein Croisement,,49.0045840,7.50220200,,,1,
StopPoint:OCECar TER-87213298,Bannstein Croisement,,49.0045840,7.50220200,,,0,StopArea:OCE87213298
StopArea:OCE87213405,Walbourg,,48.8859980,7.80926000,,,1,
StopPoint:OCECar TER-87213405,Walbourg,,48.8859980,7.80926000,,,0,StopArea:OCE87213405
StopPoint:OCETrain TER-87213405,Walbourg,,48.8859980,7.80926000,,,0,StopArea:OCE87213405
StopArea:OCE87213413,Hoelschloch-Surbourg,,48.9162400,7.83144500,,,1,
StopPoint:OCETrain TER-87213413,Hoelschloch-Surbourg,,48.9162400,7.83144500,,,0,StopArea:OCE87213413
StopArea:OCE87213421,Soultz-sous-Forêts,,48.9346160,7.88242500,,,1,
StopPoint:OCECar TER-87213421,Soultz-sous-Forêts,,48.9346160,7.88242500,,,0,StopArea:OCE87213421
StopPoint:OCETrain TER-87213421,Soultz-sous-Forêts,,48.9346160,7.88242500,,,0,StopArea:OCE87213421
StopArea:OCE87213447,Hoffen,,48.9312250,7.93298200,,,1,
StopPoint:OCECar TER-87213447,Hoffen,,48.9312250,7.93298200,,,0,StopArea:OCE87213447
StopPoint:OCETrain TER-87213447,Hoffen,,48.9312250,7.93298200,,,0,StopArea:OCE87213447
StopArea:OCE87213462,Riedseltz,,48.9903830,7.96265500,,,1,
StopPoint:OCECar TER-87213462,Riedseltz,,48.9903830,7.96265500,,,0,StopArea:OCE87213462
StopPoint:OCETrain TER-87213462,Riedseltz,,48.9903830,7.96265500,,,0,StopArea:OCE87213462
StopArea:OCE87213470,Wissembourg,,49.0261270,7.96279000,,,1,
StopPoint:OCECar TER-87213470,Wissembourg,,49.0261270,7.96279000,,,0,StopArea:OCE87213470
StopPoint:OCETrain TER-87213470,Wissembourg,,49.0261270,7.96279000,,,0,StopArea:OCE87213470
StopArea:OCE87213603,Marienthal,,48.7818680,7.82335200,,,1,
StopPoint:OCECar TER-87213603,Marienthal,,48.7818680,7.82335200,,,0,StopArea:OCE87213603
StopPoint:OCETrain TER-87213603,Marienthal,,48.7818680,7.82335200,,,0,StopArea:OCE87213603
StopArea:OCE87213611,Bischwiller,,48.7657530,7.85165400,,,1,
StopPoint:OCECar TER-87213611,Bischwiller,,48.7657530,7.85165400,,,0,StopArea:OCE87213611
StopPoint:OCETrain TER-87213611,Bischwiller,,48.7657530,7.85165400,,,0,StopArea:OCE87213611
StopArea:OCE87213660,Kurtzenhouse,,48.7417000,7.81308100,,,1,
StopPoint:OCETrain TER-87213660,Kurtzenhouse,,48.7417000,7.81308100,,,0,StopArea:OCE87213660
StopArea:OCE87213678,Weyersheim,,48.7176980,7.79684500,,,1,
StopPoint:OCETrain TER-87213678,Weyersheim,,48.7176980,7.79684500,,,0,StopArea:OCE87213678
StopArea:OCE87213686,Hoerdt,,48.7029720,7.77908200,,,1,
StopPoint:OCETrain TER-87213686,Hoerdt,,48.7029720,7.77908200,,,0,StopArea:OCE87213686
StopArea:OCE87213744,Wingen-sur-Moder,,48.9200920,7.38053800,,,1,
StopPoint:OCECar TER-87213744,Wingen-sur-Moder,,48.9200920,7.38053800,,,0,StopArea:OCE87213744
StopPoint:OCETrain TER-87213744,Wingen-sur-Moder,,48.9200920,7.38053800,,,0,StopArea:OCE87213744
StopArea:OCE87213769,Wimmenau,,48.9112920,7.42823400,,,1,
StopPoint:OCECar TER-87213769,Wimmenau,,48.9112920,7.42823400,,,0,StopArea:OCE87213769
StopArea:OCE87213785,Ingwiller,,48.8724070,7.47716200,,,1,
StopPoint:OCECar TER-87213785,Ingwiller,,48.8724070,7.47716200,,,0,StopArea:OCE87213785
StopPoint:OCETrain TER-87213785,Ingwiller,,48.8724070,7.47716200,,,0,StopArea:OCE87213785
StopArea:OCE87213827,Ettendorf,,48.8081860,7.58528800,,,1,
StopPoint:OCECar TER-87213827,Ettendorf,,48.8081860,7.58528800,,,0,StopArea:OCE87213827
StopArea:OCE87213884,Niedermodern Pont de la Moder,,48.8464620,7.62777100,,,1,
StopPoint:OCECar TER-87213884,Niedermodern Pont de la Moder,,48.8464620,7.62777100,,,0,StopArea:OCE87213884
StopArea:OCE87214056,Sélestat,,48.2598240,7.44315700,,,1,
StopPoint:OCECar TER-87214056,Sélestat,,48.2598240,7.44315700,,,0,StopArea:OCE87214056
StopPoint:OCETrain TER-87214056,Sélestat,,48.2598240,7.44315700,,,0,StopArea:OCE87214056
StopArea:OCE87214106,Ebersheim,,48.3097600,7.49398600,,,1,
StopPoint:OCECar TER-87214106,Ebersheim,,48.3097600,7.49398600,,,0,StopArea:OCE87214106
StopPoint:OCETrain TER-87214106,Ebersheim,,48.3097600,7.49398600,,,0,StopArea:OCE87214106
StopArea:OCE87214114,Kogenheim,,48.3387900,7.53528800,,,1,
StopPoint:OCECar TER-87214114,Kogenheim,,48.3387900,7.53528800,,,0,StopArea:OCE87214114
StopPoint:OCETrain TER-87214114,Kogenheim,,48.3387900,7.53528800,,,0,StopArea:OCE87214114
StopArea:OCE87214122,Benfeld,,48.3740690,7.58386600,,,1,
StopPoint:OCECar TER-87214122,Benfeld,,48.3740690,7.58386600,,,0,StopArea:OCE87214122
StopPoint:OCETrain TER-87214122,Benfeld,,48.3740690,7.58386600,,,0,StopArea:OCE87214122
StopArea:OCE87214130,Matzenheim,,48.3989800,7.61965400,,,1,
StopPoint:OCETrain TER-87214130,Matzenheim,,48.3989800,7.61965400,,,0,StopArea:OCE87214130
StopArea:OCE87214148,Erstein,,48.4229820,7.63870100,,,1,
StopPoint:OCECar TER-87214148,Erstein,,48.4229820,7.63870100,,,0,StopArea:OCE87214148
StopPoint:OCETrain TER-87214148,Erstein,,48.4229820,7.63870100,,,0,StopArea:OCE87214148
StopArea:OCE87214205,Scherwiller,,48.2866040,7.43054500,,,1,
StopPoint:OCECar TER-87214205,Scherwiller,,48.2866040,7.43054500,,,0,StopArea:OCE87214205
StopPoint:OCETrain TER-87214205,Scherwiller,,48.2866040,7.43054500,,,0,StopArea:OCE87214205
StopArea:OCE87214213,Dambach-la-Ville,,48.3216350,7.43555700,,,1,
StopPoint:OCECar TER-87214213,Dambach-la-Ville,,48.3216350,7.43555700,,,0,StopArea:OCE87214213
StopPoint:OCETrain TER-87214213,Dambach-la-Ville,,48.3216350,7.43555700,,,0,StopArea:OCE87214213
StopArea:OCE87214221,Epfig,,48.3635930,7.45034500,,,1,
StopPoint:OCETrain TER-87214221,Epfig,,48.3635930,7.45034500,,,0,StopArea:OCE87214221
StopArea:OCE87214239,Eichhoffen,,48.3823100,7.44986200,,,1,
StopPoint:OCETrain TER-87214239,Eichhoffen,,48.3823100,7.44986200,,,0,StopArea:OCE87214239
StopArea:OCE87214247,Barr,,48.4034800,7.45671300,,,1,
StopPoint:OCECar TER-87214247,Barr,,48.4034800,7.45671300,,,0,StopArea:OCE87214247
StopPoint:OCETrain TER-87214247,Barr,,48.4034800,7.45671300,,,0,StopArea:OCE87214247
StopArea:OCE87214254,Gertwiller,,48.4133140,7.46681900,,,1,
StopPoint:OCECar TER-87214254,Gertwiller,,48.4133140,7.46681900,,,0,StopArea:OCE87214254
StopPoint:OCETrain TER-87214254,Gertwiller,,48.4133140,7.46681900,,,0,StopArea:OCE87214254
StopArea:OCE87214270,Goxwiller,,48.4327550,7.47873000,,,1,
StopPoint:OCECar TER-87214270,Goxwiller,,48.4327550,7.47873000,,,0,StopArea:OCE87214270
StopPoint:OCETrain TER-87214270,Goxwiller,,48.4327550,7.47873000,,,0,StopArea:OCE87214270
StopArea:OCE87214288,Obernai,,48.4621550,7.48911900,,,1,
StopPoint:OCETrain TER-87214288,Obernai,,48.4621550,7.48911900,,,0,StopArea:OCE87214288
StopArea:OCE87214296,Bischoffsheim,,48.4870100,7.49772000,,,1,
StopPoint:OCECar TER-87214296,Bischoffsheim,,48.4870100,7.49772000,,,0,StopArea:OCE87214296
StopPoint:OCETrain TER-87214296,Bischoffsheim,,48.4870100,7.49772000,,,0,StopArea:OCE87214296
StopArea:OCE87214320,Rosheim,,48.5051960,7.49106500,,,1,
StopPoint:OCECar TER-87214320,Rosheim,,48.5051960,7.49106500,,,0,StopArea:OCE87214320
StopPoint:OCETrain TER-87214320,Rosheim,,48.5051960,7.49106500,,,0,StopArea:OCE87214320
StopArea:OCE87214338,Dorlisheim,,48.5249920,7.49305500,,,1,
StopPoint:OCECar TER-87214338,Dorlisheim,,48.5249920,7.49305500,,,0,StopArea:OCE87214338
StopPoint:OCETrain TER-87214338,Dorlisheim,,48.5249920,7.49305500,,,0,StopArea:OCE87214338
StopArea:OCE87214502,Lingolsheim,,48.5594780,7.67852200,,,1,
StopPoint:OCECar TER-87214502,Lingolsheim,,48.5594780,7.67852200,,,0,StopArea:OCE87214502
StopPoint:OCETrain TER-87214502,Lingolsheim,,48.5594780,7.67852200,,,0,StopArea:OCE87214502
StopArea:OCE87214528,Entzheim Aéroport,,48.5471620,7.62918500,,,1,
StopPoint:OCECar TER-87214528,Entzheim Aéroport,,48.5471620,7.62918500,,,0,StopArea:OCE87214528
StopPoint:OCETrain TER-87214528,Entzheim Aéroport,,48.5471620,7.62918500,,,0,StopArea:OCE87214528
StopArea:OCE87214536,Duppigheim,,48.5439670,7.58680900,,,1,
StopPoint:OCECar TER-87214536,Duppigheim,,48.5439670,7.58680900,,,0,StopArea:OCE87214536
StopPoint:OCETrain TER-87214536,Duppigheim,,48.5439670,7.58680900,,,0,StopArea:OCE87214536
StopArea:OCE87214544,Duttlenheim,,48.5453790,7.56628900,,,1,
StopPoint:OCECar TER-87214544,Duttlenheim,,48.5453790,7.56628900,,,0,StopArea:OCE87214544
StopPoint:OCETrain TER-87214544,Duttlenheim,,48.5453790,7.56628900,,,0,StopArea:OCE87214544
StopArea:OCE87214551,Dachstein,,48.5427270,7.53269400,,,1,
